Rank,NOC,D,E,Pen.,Total,Name
1,UKR,7.100,9.033,0,16.133 Q,Oleg VERNIAIEV
2,JPN,6.600,9.158,0,15.758 Q,Yusuke TANAKA
3,AZE,7.000,8.700,0,15.700 Q,Oleg STEPKO
4,CHN,7.300,8.400,0,15.700 Q,Hao YOU
5,CUB,6.700,8.966,0,15.666 Q,Manrique LARDUET
6,USA,6.900,8.733,0,15.633 Q,Danell LEYVA
7,CHN,7.100,8.433,0,15.533 Q,Shudi DENG
8,GBR,6.600,8.900,0,15.500 Q,Nile WILSON
9,FRA,6.800,8.700,0,15.500 R1,Axel AUGIS
10,JPN,6.500,8.966,0,15.466 R2,Kohei UCHIMURA
11,CHN,6.500,8.933,0,15.433,Chenglong ZHANG
12,CHN,7.000,8.433,0,15.433,Chaopan LIN
13,RUS,6.600,8.800,0,15.400 R3,David BELYAVSKIY
14,KOR,6.600,8.775,0,15.375,Wonchul YOO
15,GBR,6.500,8.858,0,15.358,Daniel PURVIS
16,RUS,6.400,8.933,0,15.333,Nikita NAGORNYY
17,NED,6.500,8.833,0,15.333,Epke ZONDERLAND
17,ROU,6.500,8.833,0,15.333,Daniel BERBECAR Marius
19,RUS,6.600,8.733,0,15.333,Nikolai KUKSENKOV
19,SUI,6.600,8.733,0,15.333,Pascal BUCHER
19,TUR,6.600,8.733,0,15.333,Ferhat ARICAN
22,MEX,6.800,8.533,0,15.333,Daniel CORRAL
23,NZL,6.600,8.666,0,15.266,Mikhail KOUDINOV
24,SUI,6.400,8.833,0,15.233,Eddy YUSOF
25,HKG,6.500,8.733,0,15.233,Hung SHEK Wai
26,BLR,6.600,8.633,0,15.233,Aliaksandr TSAREVICH
26,JPN,6.600,8.633,0,15.233,Kazuma KAYA
28,COL,6.400,8.800,0,15.200,Jorge GIRALDO
29,GER,6.700,8.500,0,15.200,Marcel NGUYEN
29,VIE,6.700,8.500,0,15.200,Hung PHAM Phuoc
31,JPN,6.300,8.866,0,15.166,Kenzo SHIRAI
32,GER,6.100,9.033,0,15.133,Fabian HAMBUECHEN
33,SUI,6.300,8.833,0,15.133,Pablo BRAEGGER
34,COL,6.900,8.233,0,15.133,Orlando CALVO MORENO Jossimar
35,GER,6.400,8.700,0,15.100,Philipp HERDER
36,KOR,6.500,8.600,0,15.100,Minsoo PARK
37,CHN,6.000,9.033,0,15.033,Ruoteng XIAO
38,SUI,6.400,8.633,0,15.033,Christian BAUMANN
39,ROU,6.200,8.800,0,15.000,Vasile MUNTEAN Andrei
40,ESP,6.500,8.500,0,15.000,Ruben LOPEZ
41,BRA,6.400,8.566,0,14.966,Francisco BARRETTO JUNIOR
,,,,0,Official Results Provider,
,,,,0,Page 1/6,22:03 Report Created MON 26 OCT 2015
Rank,,,,Pen.,Total,
,Code,Score,Score,0,,
42,FRA,6.500,8.466,0,14.966,Hamilton SABOT
43,FRA,6.200,8.733,0,14.933,Cyril TOMMASONE
44,BLR,6.000,8.900,0,14.900,Andrey LIKHOVITSKIY
45,ESP,6.400,8.500,0,14.900,Nestor ABAD
46,GRE,6.000,8.866,0,14.866,Nikolaos ILIOPOULOS
47,BEL,6.200,8.666,0,14.866,Jimmy VERBAEYS
48,BLR,6.500,8.300,0,14.800,Vasili MIKHALITSYN
49,GER,6.100,8.666,0,14.766,Sebastian KRIMMER
50,KOR,6.300,8.466,0,14.766,Sangwook LEE
51,GER,6.500,8.266,0,14.766,Andreas BRETSCHNEIDER
52,TPE,5.700,9.033,0,14.733,Kai LEE Chih
53,USA,6.300,8.433,0,14.733,Paul RUGGERI III
54,GBR,6.200,8.500,0,14.700,Max WHITLOCK
55,CZE,5.800,8.866,0,14.666,David JESSEN
56,COL,6.200,8.466,0,14.666,Carlos CALVO
57,BEL,6.500,8.166,0,14.666,Florian LANDUYT
58,RUS,5.900,8.733,0,14.633,Ivan STRETOVICH
59,FRA,6.200,8.433,0,14.633,Jim ZONA
60,USA,6.600,8.033,0,14.633,Brandon WYNN
61,USA,6.900,7.733,0,14.633,Donnell WHITTENBURG
62,KOR,5.800,8.800,0,14.600,Junho LEE
62,KOR,5.800,8.800,0,14.600,Donghyen SHIN
64,CAN,6.000,8.600,0,14.600,Kenneth IKEDA
65,COL,5.900,8.666,0,14.566,Alexander MUNOZ PEREZ Jhonny
66,MEX,6.000,8.566,0,14.566,Fabian de LUNA
67,BLR,5.700,8.833,0,14.533,Dzmitry BARKALAU
67,COL,5.700,8.833,0,14.533,Kristopher BOHORQUEZ CANTOR
69,FRA,5.800,8.733,0,14.533,Arnaud WILLIG
70,CHI,5.900,8.633,0,14.533,Tomas GONZALEZ
71,BRA,6.000,8.533,0,14.533,Arthur OYAKAWA MARIANO
72,UKR,6.200,8.333,0,14.533,Volodymyr OKACHEV
73,ROU,5.800,8.700,0,14.500,Ioan BATAGA Cristian
74,PUR,6.300,8.200,0,14.500,Nestor RODRIGUEZ COLON
75,CUB,6.700,7.800,0,14.500,Randy LERU
76,CAN,5.500,8.966,0,14.466,Rene COURNOYER
77,LTU,5.800,8.666,0,14.466,Robert TVOROGAL
78,CAN,5.900,8.566,0,14.466,Kevin LYTWYN
79,VIE,6.600,7.866,0,14.466,Tung le Thanh
80,PRK,6.900,7.833,-0.3,14.433,Hyok HAN Jong
81,ARM,5.100,9.300,0,14.400,Artur DAVTYAN
82,SVK,5.500,8.900,0,14.400,Samuel PIASECKY
,,,,0,Official Results Provider,
,,,,0,Page 2/6,22:03 Report Created MON 26 OCT 2015
Rank,,,,Pen.,Total,
,Code,Score,Score,0,,
83,BRA,6.000,8.400,0,14.400,Pericles FOURO da SILVA
84,ARG,5.600,8.766,0,14.366,Federico MOLINARI
85,IND,5.800,8.566,0,14.366,Rakesh PATRA
86,ITA,5.900,8.466,0,14.366,Nicola BARTOLINI
87,VIE,6.200,8.166,0,14.366,Thanh DINH Phuong
88,FIN,5.600,8.733,0,14.333,Heikki NIVA
89,UKR,5.800,8.533,0,14.333,Maksym SEMIANKIV
90,NED,5.600,8.700,0,14.300,Bart DEURLOO
91,LTU,5.700,8.600,0,14.300,Tomas KUZMICKAS
92,ROU,5.800,8.500,0,14.300,Marian DRAGULESCU
92,ROU,5.800,8.500,0,14.300,Andrei URSACHE Alexandru
94,AUT,5.900,8.400,0,14.300,Fabian LEIMLEHNER
95,IRL,5.200,9.066,0,14.266,Kieran BEHAN
96,CYP,5.500,8.766,0,14.266,Marios GEORGIOU
97,TPE,5.600,8.666,0,14.266,Wei YU Chao
98,ISR,5.800,8.466,0,14.266,Alexander SHATILOV
99,UKR,5.900,8.366,0,14.266,Vladyslav HRYKO
100,BRA,6.000,8.266,0,14.266,Lucas de SOUZA BITENCOURT
101,CRO,5.400,8.833,0,14.233,Filip UDE
102,AUT,5.500,8.700,0,14.200,Lukas KRANZLMUELLER
103,BRA,6.500,7.700,0,14.200,Caio CAMPOS SOUZA
104,HUN,5.500,8.666,0,14.166,David VECSERNYES
105,UKR,5.400,8.758,0,14.158,Mykyta YERMAK
106,POR,5.400,8.733,0,14.133,Bernardo da COSTA ALMEIDA
107,NED,5.500,8.633,0,14.133,Jeffrey WAMMES
108,ESP,5.600,8.533,0,14.133,Alberto TALLON FERNANDEZ
109,IRL,5.400,8.700,0,14.100,Andrew SMITH
110,POR,5.600,8.500,0,14.100,Gustavo PALMA SIMOES
111,ITA,5.700,8.400,0,14.100,Mattia TAMIAZZO
112,PUR,5.400,8.633,0,14.033,Tommy RAMOS
113,NED,5.500,8.533,0,14.033,Casimir SCHMIDT
114,GRE,5.200,8.800,0,14.000,Christos CHATZIEFSTATHIOU Georgios
115,LTU,5.400,8.600,0,14.000,Rokas GUSCINAS
116,MEX,5.700,8.300,0,14.000,Heron BONILLA RUIZ Rodolfo
117,CAN,5.200,8.766,0,13.966,Hugh SMITH Jay
118,GRE,5.400,8.566,0,13.966,Dimitrios MARKOUSIS
118,HUN,5.400,8.566,0,13.966,Adam BABOS
120,FIN,5.300,8.633,0,13.933,Oskar KIRMES
121,UZB,5.400,8.533,0,13.933,Eduard SHAULOV
122,BEL,5.700,8.233,0,13.933,Maxime GENTGES
123,UZB,6.800,7.133,0,13.933,Anton FOKIN
,,,,0,Official Results Provider,
,,,,0,Page 3/6,22:03 Report Created MON 26 OCT 2015
Rank,,,,Pen.,Total,
,Code,Score,Score,0,,
124,SWE,5.200,8.666,0,13.866,Michael TRANE
125,HUN,5.300,8.566,0,13.866,Levente VAGNER
126,HUN,5.200,8.633,0,13.833,Vid HIDVEGI
127,HUN,5.700,8.133,0,13.833,Norbert DUDAS
128,KAZ,5.700,8.100,0,13.800,Ilya KORNEV
129,POR,5.800,8.000,0,13.800,Simao ALMEIDA
130,JPN,6.600,7.166,0,13.766,Ryohei KATO
131,MAS,5.400,8.333,0,13.733,Xing LOO Phay
131,MEX,5.400,8.333,0,13.733,Javier CERVANTES QUEZADA
133,PUR,5.700,8.033,0,13.733,Tristian PEREZ RIVERA
134,VEN,5.900,7.833,0,13.733,Luis FUENTES BUSTAMANTE Jose
135,PUR,6.200,7.533,0,13.733,Alexis TORRES
136,RUS,6.700,7.033,0,13.733,Nikita IGNATYEV
137,GRE,5.100,8.600,0,13.700,Vlasios MARAS
138,TPE,5.400,8.300,0,13.700,Chiang HUANG Ko
139,EGY,5.000,8.666,0,13.666,Mohamed AHMED Amr Essam
140,CZE,5.100,8.566,0,13.666,Daniel RADOVESNICKY
141,THA,5.500,8.166,0,13.666,Tee KRIANGKUM Robert
142,SUI,5.600,8.066,0,13.666,Claudio CAPELLI
143,IND,5.200,8.433,0,13.633,Siddharth VERMA
143,ISR,5.200,8.433,0,13.633,Artem DOLGOPYAT
145,CZE,5.400,8.233,0,13.633,Martin KONECNY
146,ESP,5.800,7.833,0,13.633,Andres MARTIN MARTIN
147,NED,6.100,7.533,0,13.633,Frank RIJKEN
148,BUL,5.200,8.400,0,13.600,Yordan ALEKSANDROV
149,ARG,4.800,8.766,0,13.566,Nicolas CORDOBA
150,POL,4.900,8.666,0,13.566,Adam RZEPA
151,ITA,5.100,8.466,0,13.566,Paolo PRINCIPI
152,JAM,5.400,8.166,0,13.566,Reiss BECKFORD
153,TPE,5.200,8.333,0,13.533,Yu HUANG Ta
154,SWE,5.000,8.500,0,13.500,Christopher SOOS
155,GRE,5.500,8.000,0,13.500,Christos LYMPANOVNOS
156,VEN,5.900,7.900,-0.3,13.500,Junior ROJO MENDOZA
157,GBR,6.100,7.400,0,13.500,Brinn BEVAN
158,LAT,5.000,8.466,0,13.466,Dmitrijs TREFILOVS
159,AUT,5.200,8.266,0,13.466,Vinzenz HOECK
160,QAT,5.600,7.866,0,13.466,Ahmed ALDYANI
160,RSA,5.600,7.866,0,13.466,Ryan PATTERSON
162,NOR,5.300,8.133,0,13.433,Stian SKJERAHAUG
163,ITA,6.100,7.300,0,13.400,Ludovico EDALLI
164,NOR,4.700,8.666,0,13.366,Marcus CONRADI
,,,,0,Official Results Provider,
,,,,0,Page 4/6,22:03 Report Created MON 26 OCT 2015
Rank,,,,Pen.,Total,
,Code,Score,Score,0,,
165,TPE,5.700,7.666,0,13.366,Chien HSU Ping
166,SIN,4.100,9.233,0,13.333,Gabriel GAN Zi Jie
167,CRC,4.800,8.533,0,13.333,Tarik SOTO BYFIELD
168,MGL,4.900,8.433,0,13.333,Erdenebold GANBAT
169,BEL,5.600,7.700,0,13.300,Bram LOUWIJE
170,TUR,5.300,7.966,0,13.266,Ibrahim COLAK
171,AUS,6.000,7.266,0,13.266,Naoya TSUKAHARA
172,LAT,4.800,8.433,0,13.233,Aleksejs PAJADA
173,NZL,3.800,9.366,0,13.166,David BISHOP
174,DEN,4.200,8.933,0,13.133,Marcus FRANDSEN
175,BUL,4.700,8.433,0,13.133,Martin ANGELOV
176,DOM,5.500,7.633,0,13.133,Audrys NIN REYES
177,SLO,5.900,7.233,0,13.133,Alen DIMIC
178,EGY,5.200,7.900,0,13.100,Ashraf ELMARAGHY Ahmed
179,ISL,4.100,8.933,0,13.033,Eythor BALDURSSON
180,ITA,5.100,7.933,0,13.033,Paolo OTTAVI
181,BLR,5.100,7.866,0,12.966,Dzianis SANUVONH
182,ALG,5.400,7.566,0,12.966,Abdeldjalil BOURGUIEG Mohamed
183,GEO,4.500,8.433,0,12.933,Paata NOZADZE
184,RSA,4.700,8.233,0,12.933,Tiaan GROBLER
185,ESP,5.600,7.333,0,12.933,Miguel ZAPATA SANTANA Rayderley
186,MEX,6.000,6.933,0,12.933,Javier BALBOA GONZALEZ
187,USA,6.400,6.533,0,12.933,Christopher BROOKS
188,SRB,4.200,8.700,0,12.900,Petar VELICKOVIC
189,SRB,4.800,8.100,0,12.900,Milos PAUNOVIC
190,NOR,4.900,7.900,0,12.800,Pietro GIACHINO
191,CHI,5.000,7.800,0,12.800,Christian BRUNO DECIDET
192,MGL,4.700,8.075,0,12.775,Otgonbat PUREVDORJ
193,MON,4.100,8.666,0,12.766,Kevin CROVETTO
194,IRL,4.000,8.700,0,12.700,Jack NEILL
195,AZE,6.500,6.200,0,12.700,Petro PAKHNYUK
196,MAR,5.200,8.066,-0.6,12.666,Hamza HOSSAINI
197,ARG,5.600,7.066,0,12.666,Osvaldo MARTINEZ ERAZUN
198,DEN,4.600,8.000,0,12.600,Joao FUGLSIG
199,IND,5.100,7.800,-0.3,12.600,Ashish KUMAR
200,SRB,4.800,7.800,0,12.600,Bojan DEJANOVIC
201,ALG,5.100,7.466,0,12.566,Mohamed REGHIB
202,SVK,5.300,7.200,0,12.500,Slavomir MICHNAK
203,BEL,5.000,7.466,0,12.466,Jonathan VROLIX
204,MGL,4.600,7.833,0,12.433,Nomondalai JAMIYANKHUU
205,CAN,5.300,7.133,0,12.433,Anderson LORAN
